card,n_terms,train_auc,test_auc,train_acc,test_acc,intercept,multiplier
22,5,0.7345952365719551,0.7440019698222794,0.936859930650754,0.9309297411516112,-11,3.6193317277293593
21,5,0.7356870927593528,0.7418432892722806,0.935650350778163,0.9300713153724247,-7,2.4831645619021145
18,5,0.7373081405587445,0.7413115362633648,0.9362148213853722,0.9306656101426307,-9,3.1250642035696456
13,5,0.7386092989541265,0.740790633280774,0.9362148213853722,0.9303354463814052,-7,2.489541924013705
02,5,0.7413025258951023,0.7397806992679216,0.9350052415127812,0.9292128895932382,-12,3.9950376774697554
28,5,0.7348755520290772,0.7394575719214339,0.936859930650754,0.9309297411516112,-15,3.9658259861607568
03,5,0.7356697791575892,0.7394224788675394,0.9360535440690267,0.93026941362916,-8,2.545495357194166
12,5,0.7389463920322695,0.7390949097915249,0.9351665188291267,0.9295430533544639,-12,4.004120265620361
14,5,0.7400345656440539,0.7379022884604274,0.936859930650754,0.9309297411516112,-14,3.9777236645212026
08,5,0.7388879654967948,0.7378536328736267,0.9363760987017176,0.9306656101426307,-7,2.6463907765281056
25,5,0.7315726114869535,0.7364292617614964,0.936859930650754,0.9309297411516112,-8,2.6307712202599447
01,5,0.7423462887442681,0.7359700683036283,0.9348439641964358,0.929080824088748,-13,3.986561784005492
06,5,0.7371298379424889,0.734112747234803,0.935972905410854,0.9302033808769149,-8,3.20629616241816
11,5,0.7383161219642661,0.7337796853329615,0.9350052415127812,0.9296090861067089,-8,2.480786859107752
15,5,0.7314909352576825,0.7323219503898822,0.9366180146762357,0.9301373481246699,-10,3.347784769493706
04,5,0.7372618610264119,0.731797317710742,0.9362148213853722,0.9299392498679345,-7,2.5807294374881153
07,5,0.7320909752273688,0.7314494048353685,0.9366986533344085,0.9307316428948759,-8,2.524524411746005
16,5,0.734744793112902,0.7314170581943874,0.9370212079670994,0.9303354463814052,-8,2.518953771808306
26,5,0.7300642395085618,0.7305079616136919,0.936859930650754,0.9309297411516112,-8,2.6258420273346506
17,5,0.7327172879006834,0.730492635951508,0.9360535440690267,0.9305335446381405,-8,2.527017455725032
29,4,0.7303097628707117,0.7302178929411627,0.936859930650754,0.9309297411516112,-8,2.6298768389863536
19,5,0.7360036843344553,0.7297933178485374,0.9346826868800903,0.929080824088748,-7,2.316330570756205
31,5,0.733881696324042,0.7285675700308168,0.9346826868800903,0.9285525620707871,-6,2.2946733956661944
10,5,0.7353673682467884,0.7280825738540948,0.9364567373598903,0.9298732171156894,-7,2.661744779412151
36,5,0.7273216550616068,0.7275966283000695,0.936859930650754,0.9309297411516112,-10,2.4619961048013828
05,5,0.7351617486144172,0.7271621186520904,0.9366986533344085,0.9307316428948759,-7,2.6778663333261585
24,5,0.7336582134517562,0.725956612914732,0.9348439641964358,0.9291468568409932,-6,2.298877927634271
30,4,0.7335138784732459,0.7259323020744979,0.9346826868800903,0.9285525620707871,-6,2.292265733027973
09,5,0.7360302868209742,0.7259256903397062,0.9362954600435449,0.9301373481246699,-6,2.557996166417346
20,5,0.7344523856164532,0.725830040576386,0.9362148213853722,0.9305335446381405,-7,2.685877585984551
23,5,0.7346484415449932,0.725817902109435,0.9369405693089267,0.9305335446381405,-7,2.670626420696127
45,5,0.7202597941671082,0.7252732986005905,0.9362148213853722,0.9303354463814052,-8,2.6012457440061336
27,5,0.7341977932248085,0.7248784254550298,0.9360535440690267,0.9300713153724247,-11,4.092341415305374
37,5,0.7241185837715599,0.7227553465539096,0.9363760987017176,0.9306656101426307,-8,2.715460441398185
40,5,0.7179658243791782,0.7215107129091172,0.936859930650754,0.9309297411516112,-12,2.738976442923055
50,5,0.7203360839424973,0.7212122354661863,0.936859930650754,0.9309297411516112,-16,3.6150232960498743
32,5,0.7233568952215998,0.7210149684250672,0.9360535440690267,0.93026941362916,-8,2.659545472434361
