card,n_terms,train_auc,test_auc,train_acc,test_acc,intercept,multiplier
13,5,0.7585538951528216,0.781902249536178,0.9667487684729064,0.9682103610675039,-12,2.747896514001752
57,5,0.7615427927927928,0.7777677121985157,0.9635467980295567,0.967032967032967,-12,2.2879849077675307
23,5,0.7570952854695185,0.7753241921768708,0.9667487684729064,0.9682103610675039,-12,2.8392871187143767
19,5,0.7390746766705356,0.7662132324520718,0.9667487684729064,0.9682103610675039,-13,2.746847506082565
27,5,0.7485603893771072,0.7654800556586271,0.9667487684729064,0.9682103610675039,-9,2.167821236797314
21,5,0.7467321616094622,0.7654238897263451,0.9667487684729064,0.9682103610675039,-12,2.9347334786193535
08,5,0.748893736527939,0.765359268707483,0.9667487684729064,0.9682103610675039,-12,2.917385847481114
16,5,0.7465490797546013,0.7651635938466296,0.9667487684729064,0.9682103610675039,-11,2.6325549419455734
32,5,0.7461975971370144,0.7645983109152753,0.9667487684729064,0.9682103610675039,-7,1.6710212079546203
28,4,0.7461561446415741,0.7645687181122449,0.9667487684729064,0.9682103610675039,-11,2.655505744525717
31,5,0.7461975971370144,0.7645687181122449,0.9667487684729064,0.9682103610675039,-10,1.6710212079546212
12,5,0.7502400790360914,0.7643331835575139,0.9667487684729064,0.9684065934065934,-7,1.656576870681172
53,5,0.7580409205217488,0.7605199395098948,0.9665024630541872,0.9658555729984302,-10,1.8819564886560458
25,5,0.7533472890067983,0.7580685683364254,0.9667487684729064,0.9682103610675039,-11,2.582323178946884
33,5,0.7518834977615653,0.7559590242346939,0.9667487684729064,0.9682103610675039,-13,2.6660333972200982
11,5,0.7620341775824904,0.7557869028293134,0.9657635467980296,0.9654631083202512,-12,2.17859232956173
58,5,0.7577956599237273,0.7551992743119975,0.9635467980295567,0.967032967032967,-6,1.2444361210443002
04,5,0.755316282540209,0.7551600185528757,0.9652709359605911,0.9658555729984302,-11,2.1942107353013096
65,5,0.7536478195987398,0.755092377860235,0.9635467980295567,0.967032967032967,-10,1.9563253473759679
64,5,0.7536478195987398,0.7550531221011132,0.9635467980295567,0.967032967032967,-14,1.9563253473759716
43,5,0.7542661526557233,0.7548592590445269,0.9665024630541872,0.9678178963893249,-16,3.1174723959864767
40,5,0.7565166777206654,0.7544503952149042,0.9635467980295567,0.967032967032967,-11,2.1964636521157566
09,5,0.7562904161830543,0.7544117433905381,0.9650246305418719,0.9680141287284144,-11,2.246494463729489
17,5,0.7548948488365667,0.7543658443491033,0.9642857142857143,0.967032967032967,-17,3.439595665514734
02,5,0.758285317526115,0.7534037762832406,0.9657635467980296,0.9654631083202512,-11,2.6343217551574045
51,5,0.7527799079754601,0.7530432272340755,0.9667487684729064,0.967032967032967,-11,2.240507077925253
44,5,0.7675102249488752,0.7528421169604205,0.9657635467980296,0.9654631083202512,-13,2.424617890003784
29,5,0.7535692325761344,0.7509451578927026,0.9660098522167487,0.9656593406593407,-6,1.2023504747061367
54,5,0.7493756217874316,0.7507162666202845,0.9667487684729064,0.9682103610675039,-8,1.6998063577037517
56,4,0.7493289877300614,0.7506812384044527,0.9667487684729064,0.9682103610675039,-8,1.6832217829818252
