card,n_terms,train_auc,test_auc,train_acc,test_acc,intercept,multiplier
06,5,0.7110899807182999,0.7253441326928607,0.9299009306514561,0.9268797564687976,-10,3.518286358979875
19,5,0.7036185494340687,0.72464121974706,0.9304262984088862,0.9268797564687976,-11,3.322886696121781
18,5,0.707379378002013,0.7240157382331907,0.9301260882617832,0.9270624048706241,-10,3.5226778883148935
52,5,0.7095485367636333,0.7206218294912177,0.9300510357250075,0.9270624048706241,-10,3.538424725059988
21,5,0.7036226663071553,0.7202974671671543,0.9304262984088862,0.9268797564687976,-10,3.0589121620294475
41,5,0.7098062963543659,0.7174938463253865,0.930201140798559,0.9266362252663622,-9,3.199648231409056
03,5,0.707570400913235,0.7168249209815662,0.9301260882617832,0.9270624048706241,-11,3.5194251952910967
15,5,0.7122813171185736,0.7149949078897614,0.9300510357250075,0.9270624048706241,-11,3.376543266327316
02,5,0.7069857182639138,0.7143918198201002,0.9304262984088862,0.9268797564687976,-12,3.271579458726002
32,5,0.7092164134443034,0.7142764538388613,0.9308766136295407,0.9253576864535769,-9,3.0299201528973465
31,5,0.7031662134206076,0.7130901768923118,0.9301260882617832,0.9270624048706241,-8,2.6758122036119136
36,5,0.7089724778800408,0.7125997960963155,0.9302761933353347,0.9261491628614916,-11,3.7858627335004567
13,5,0.7061630803501822,0.7095722956311787,0.9304262984088862,0.9268797564687976,-9,2.6550521859541036
07,5,0.7116428117705822,0.7060783975569274,0.9302761933353347,0.9261491628614916,-7,2.2422762341927784
46,5,0.7102801267788901,0.7058437186471225,0.930201140798559,0.9266362252663622,-9,3.1882324352463933
22,5,0.6973498084527292,0.7036692795823428,0.9301260882617832,0.9270624048706241,-12,3.748334360354544
24,5,0.7107280859062274,0.7034787845551127,0.9302761933353347,0.9261491628614916,-9,3.0193467575725816
63,5,0.6928889381180239,0.7000474346322481,0.9304262984088862,0.9255403348554033,-8,3.0628353718972954
12,5,0.7071541633764185,0.6997129308463034,0.9305764034824378,0.9259665144596652,-10,3.4803118620057973
53,5,0.6938707040104324,0.6987846581718858,0.9301260882617832,0.9270624048706241,-10,3.7519745213226097
39,5,0.704663455158975,0.6987634433300044,0.930201140798559,0.9266362252663622,-11,3.3559784531284804
50,5,0.6937176863381262,0.6983528237612369,0.9301260882617832,0.9268188736681887,-7,2.4853183315246565
20,5,0.7027650133044339,0.6981579980556899,0.9301260882617832,0.9270624048706241,-10,3.4594563875887805
37,5,0.6938834879847542,0.6979079424969244,0.930201140798559,0.9274885844748858,-7,2.485472880982779
47,5,0.6938441393451467,0.6977829284222199,0.9301260882617832,0.9270624048706241,-10,3.7233519252164635
11,5,0.7040044954520687,0.6976484033008321,0.9302761933353347,0.9267579908675799,-10,3.6440645113587586
17,5,0.6961355042341824,0.6972513239541439,0.9304262984088862,0.9268797564687976,-12,3.1004353160856764
01,5,0.7048673487155313,0.6971935724401332,0.930501350945662,0.9259665144596652,-7,2.430491617975549
04,5,0.7036308567178226,0.6968971402502782,0.9305764034824378,0.9268797564687976,-11,3.976687469618758
14,5,0.7000406833731976,0.6966703826444832,0.9307265085559892,0.9261491628614916,-8,2.4541107434232137
49,5,0.6936756075616298,0.6963517762852713,0.9303512458721105,0.925662100456621,-6,2.483562175038891
48,5,0.6936756075616298,0.6963517762852713,0.9303512458721105,0.925662100456621,-7,2.483510878290356
27,5,0.7091233287770382,0.6961286093051695,0.930201140798559,0.926392694063927,-10,3.4863375876656013
05,5,0.7069365324644045,0.6939660384917268,0.9304262984088862,0.9268797564687976,-10,2.9798829004831493
25,5,0.7024772655434277,0.6936748414889508,0.9302761933353347,0.9269406392694064,-9,3.289927995498267
64,5,0.6935576483138197,0.6929078180584463,0.9303512458721105,0.9257838660578387,-7,2.7923742560205813
23,5,0.7020481140257706,0.6928818065791884,0.930501350945662,0.9268797564687976,-7,2.665869931317412
30,5,0.6919512877709022,0.6923821066020039,0.9304262984088862,0.9268797564687976,-9,2.8184384808213063
56,5,0.7018667549324257,0.6923715539997761,0.9298258781146803,0.9261491628614916,-7,2.343356092350093
57,5,0.7018667549324257,0.6923715539997761,0.9298258781146803,0.9261491628614916,-6,2.343284016412746
55,5,0.6943893000128359,0.6920057487287815,0.9303512458721105,0.9246879756468798,-9,2.936045990962623
33,5,0.6914684002255874,0.6913727844606052,0.9304262984088862,0.9268797564687976,-10,3.0435664912506724
58,5,0.6922185811729935,0.6910281118034227,0.929600720504353,0.9255403348554033,-7,1.2070710999369492
54,5,0.6898515958256813,0.6908986574129756,0.9304262984088862,0.9268797564687976,-8,1.2903502814758911
26,5,0.6920159876816224,0.6908526371035195,0.9306514560192134,0.9267579908675799,-11,3.410763573168171
09,5,0.7015960380253465,0.6907016389589138,0.9308766136295407,0.9262100456621004,-11,3.2803603991095605
16,5,0.6922698470767992,0.6903900768043059,0.930501350945662,0.9271841704718417,-11,3.3799082432547216
